brand_slug,origem,total,verified_inci,catalog_only,quarantined,non_hair_marcado,kits,pct_inci
tresemme,internacional,32,32,0,0,0,0,100.0
beleza-ruiva,outras,32,25,7,0,3,3,78.1
bendita-canfora,outras,32,0,32,0,0,0,0.0
kah-noa,outras,27,9,18,0,1,0,33.3
barba-de-macho,outras,26,1,25,0,0,0,3.8
wella,internacional,23,9,13,1,0,0,39.1
imunehair,outras,21,21,0,0,0,5,100.0
veggue-profissional,outras,21,8,13,0,0,0,38.1
cia-da-barba,outras,21,1,20,0,0,0,4.8
rainha-dos-cachos,outras,18,8,10,0,0,1,44.4
breany-liss,outras,16,0,16,0,0,0,0.0
aussie,outras,16,12,4,0,0,0,75.0
fabulosa-lizz,outras,13,2,11,0,0,1,15.4
bio-instinto,outras,11,11,0,0,3,5,100.0
new-hair,outras,11,6,5,0,5,2,54.5
my-brush,outras,9,4,5,0,0,1,44.4
sos-frizz,outras,6,5,1,0,0,1,83.3
head-and-shoulders,internacional,5,0,5,0,0,0,0.0
oriente-life,outras,5,0,0,5,0,0,0.0
qod,outras,5,0,0,5,0,0,0.0
med-for-you-professional,outras,5,0,0,5,0,0,0.0
hair-extrattus,outras,5,0,0,5,0,0,0.0
lola-cosmetics,nacional,5,0,0,5,0,0,0.0
azenka,outras,5,0,0,5,0,0,0.0
barrominas,outras,4,1,3,0,0,0,25.0
trevor-sorbie,outras,3,0,3,0,0,0,0.0
grankera,outras,2,0,2,0,0,0,0.0
strattus,outras,2,0,2,0,0,0,0.0
a-line,outras,2,0,0,2,0,0,0.0
b-urb,outras,1,0,1,0,0,0,0.0
loccitane-us,outras,1,0,1,0,0,0,0.0
