brand_slug,brand_name,origem,total,verified_inci,catalog_only,kits,non_hair,pct_inci,termo_volume,termo_inci,status_geral,acao
belkit,Belkit,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
belliz,Belliz,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
belofio-professional,Belofio Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
beto-bita,Beto Bita,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
better-not-younger,Better Not Younger,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
beudose,Beudose,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
billy-jealousy,Billy Jealousy,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
biocale,Biocale,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
bioderma,Bioderma,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
biofios-profissional,Biofios Profissional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
biosilk,BioSilk,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
biotipo-brazil,Biotipo Brazil,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
bjork-berries,Björk & Berries,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
black-beauty,Black Beauty,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
blu-magic,Blu Magic,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
boe-boe-cosmetics,BOE / Boé Cosmetics,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
bomba,Bomba,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
bondi-wash,BONDI WASH,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
bonita-por-natureza,Bonita por Natureza,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
borabella,Borabella,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
bosley,Bosley,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
bothanico-hair,Bothanico Hair,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
br-co,Br&Co,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
braliz,Braliz,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
bravet,Bravet,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
bravir,Bravir,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
bumble-and-bumble,Bumble and Bumble,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
butterfly,Butterfly,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
c-alma,C/ALMA,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
cadiveu-professional,Cadiveu Professional,nacional,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
care-for-you,Care for You,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
carols-daughter,Carol’s Daughter,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
casa-da-india,Casa da Índia,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
cavalera,Cavalera,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
charmelle,Charmelle,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
charming,Charming,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
che-figo,Che Figo,nacional,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
chi-farouk-systems,CHI (Farouk Systems),outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
chons,Chons,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
christine-adans,Christine Adans,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
christophe-robin,Christophe Robin,internacional,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
classe-a,Classe A,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
clear,Clear,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
cless,Cless,nacional,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
clorofitum,Clorofitum,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
coiffer,Coiffer,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
colgate-palmolive,Colgate-Palmolive,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
color-affair,Color Affair,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
color-pro,Color Pro,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
color-wow,Color WOW,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
corpo-dourado,Corpo Dourado,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
cosmeceuta,Cosmeceuta,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
cosmedix,CosMedix,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
cris-dios-organics,Cris Dios Organics,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
crown-us-professional,Crown'us Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
curly-care,Curly Care,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
daare,Daarê,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dabelle-hair,DaBelle Hair,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dacca-professional,Dacca Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dalsan-cosmeticos,Dalsan Cosméticos,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dama-hair,Dama Hair,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
davines,Davines,internacional,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
de-sirius,De Sirius,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dermare,Dermare,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
design-me,Design.ME,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
detagold,Detagold,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
detra-hair-cosmetics,Detra Hair Cosmetics,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
devacurl,DevaCurl,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dhonna,Dhonna,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
diamante-profissional,Diamante Profissional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dicolore,Dicolore,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
diego-dalla-palma-milano,Diego Dalla Palma Milano,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
diliza-professional,Diliza Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dimension,Dimension,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
divcom,Divcom,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
divine-meches,Divine Mèches,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
do-ha,DO.HA,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dom-pelo,Dom Pelo,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
don-alcides,Don Alcides,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
doona,Doona,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
doono,Doono,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dr-barbara-sturm,Dr. Barbara Sturm,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dr-hauschka,Dr. Hauschka,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dr-seed,Dr. Seed,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
dr-zero,Dr ZERO,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ducray,Ducray,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
duetto-professional,Duetto Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
eae-cosmeticos,Eaê Cosméticos,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ecosix-professional,Ecosix Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ecosmetics,Ecosmetics,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
eico,Eico,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
eizz,EIZZ,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ekilibre-amazonia,Ekilibre Amazônia,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ekobe,Ekobé,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
eleven-australia,Eleven Australia,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
elfa-4men,Elfa 4men,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
eliana-mendes,Eliana Mendes,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
elisafer,Elisafer,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ellips,Ellips,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
elvis-elvin,Elvis + Elvin,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
emah-hair-care,Emáh Hair Care,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
embaixador,Embaixador,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
enzz-cosmetics,Enzz Cosmetics,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
eri-haircare,Eri Haircare,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
erven-cosmetics,Erven Cosmetics,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ervik,Ervik,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
escovas-evas,Escovas Evas,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
essencialmente-bela,Essencialmente Bela,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
essencials-profissional,Essencials Profissional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
estoril-cosmeticos,Estoril Cosméticos,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
everlong,Everlong,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
evo,Evo,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
exo-hair,Exo Hair,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
expresso-mata-atlantica,Expresso Mata Atlântica,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
f-men-cosmetics,F-Men Cosmetics,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
fanola,Fanola,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
farmaervas,Farmaervas,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
fashion-gold,Fashion Gold,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
fast-escova,Fast Escova,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
fatboy,Fatboy,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
feito-pra-voce,Feito pra Você,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
felithi-pro,Felithi Pro,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
fgz-professional,FGZ Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
fit-cosmetics,Fit Cosmetics,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
flama,Flama,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
floland,Floland,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
folha-nativa-cosmeticos,Folha Nativa Cosméticos,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
for-beauty,For Beauty,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
force-de-frizz,Force de Frizz,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
formalisa,Formalisa,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
fox-professional,Fox Professional,nacional,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
fudge,Fudge,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
fusion,Fusion,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
g-hair,G.Hair,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
garnier,Garnier,internacional,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ghd,GHD,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
gigita,Gigita,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
girass,Girass,nacional,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
glatten-professional,Glatten Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
go,GO.,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
goldwell,Goldwell,internacional,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
gotas-verdes,Gotas Verdes,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
grandha,Grandha,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
grecin,Grecin,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
grown-alchemist,Grown Alchemist,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
guerlain,Guerlain,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
habito-cosmeticos,Hábito Cosméticos,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
haissa-profissional,Haissa Profissional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
hamarys-cosmetic,Hamarys Cosmetic,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
hanna-professional,Hanna Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
hanova,Hanova,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
hbeauty-professional,HBeauty Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
hboni,Hboni,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
head-shoulders,Head & Shoulders,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
herbal-essences,Herbal Essences,internacional,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
hi-hair-care,Hi Hair Care,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
hidralise,Hidralise,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
hidraliso,Hidraliso,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
hiritu,Hiritu,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
hobety-profissional,Hobety Profissional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
hoka-professional,Hoka Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
homme-marine,Homme Marine,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
huggies,Huggies,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
human,Human,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
igk,IGK,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ilike-professional,iLike Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
imabelle,Imabelle,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
imagination,Imagination,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
imecap,Imecap,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
in-voga,In Voga,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
inblue-professional,InBlue Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
instinto-natural,Instinto Natural,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
iorus-professional,Iórus Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
issue-professional,Issue Professional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
itallian-hairtech,Itallian Hairtech,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
itely-hairfashion,Itely Hairfashion,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
iti-hair-profissional,Iti Hair Profissional,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
its-a-10,It’s A 10,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ix1975,IX1975,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
j-beverly-hills,J Beverly Hills,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
jacques-janine-professionnel,Jacques Janine Professionnel,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
japinha-cosmeticos,Japinha Cosméticos,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
john-frieda,John Frieda,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
john-masters-organics,John Masters Organics,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
johnsons-baby,Johnsons Baby,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
jyothi-cosmeticos,Jyothi Cosméticos,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
k-pro,K.Pro,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
k18,K18,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
kadma-kweeze,Kadma Kweeze,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
